1 , 7.152557373046875e-07 , 5.7220458984375e-07 , 3.337860107421875e-07
2 , 9.059906005859375e-07 , 7.152557373046875e-07 , 5.245208740234375e-07
3 , 1.239776611328125e-06 , 1.0967254638671874e-06 , 7.62939453125e-07
4 , 1.9073486328125e-06 , 1.5735626220703124e-06 , 7.152557373046875e-07
5 , 2.47955322265625e-06 , 1.9073486328125e-06 , 7.62939453125e-07
6 , 3.337860107421875e-06 , 2.5272369384765624e-06 , 1.0013580322265625e-06
7 , 4.38690185546875e-06 , 3.0517578125e-06 , 1.049041748046875e-06
8 , 5.4836273193359375e-06 , 3.6716461181640626e-06 , 1.0967254638671874e-06
9 , 6.628036499023438e-06 , 4.434585571289063e-06 , 1.2874603271484376e-06
10 , 7.963180541992187e-06 , 5.197525024414063e-06 , 1.430511474609375e-06
11 , 9.489059448242187e-06 , 5.91278076171875e-06 , 1.5735626220703124e-06
12 , 1.0824203491210937e-05 , 6.9141387939453125e-06 , 1.6689300537109375e-06
13 , 1.2540817260742188e-05 , 7.82012939453125e-06 , 1.8596649169921875e-06
14 , 1.4162063598632812e-05 , 8.678436279296875e-06 , 1.8596649169921875e-06
15 , 1.6069412231445314e-05 , 9.870529174804687e-06 , 1.811981201171875e-06
16 , 1.8167495727539063e-05 , 1.10626220703125e-05 , 1.9550323486328123e-06
17 , 2.0265579223632812e-05 , 1.201629638671875e-05 , 2.193450927734375e-06
18 , 2.231597900390625e-05 , 1.3446807861328125e-05 , 2.3365020751953127e-06
19 , 2.4890899658203126e-05 , 1.4638900756835937e-05 , 2.4318695068359373e-06
20 , 2.765655517578125e-05 , 1.6117095947265624e-05 , 2.5272369384765624e-06
21 , 3.6334991455078126e-05 , 1.749992370605469e-05 , 2.6226043701171875e-06
22 , 3.275871276855469e-05 , 1.9121170043945313e-05 , 2.86102294921875e-06
23 , 3.557205200195312e-05 , 2.0456314086914062e-05 , 2.86102294921875e-06
24 , 3.848075866699219e-05 , 2.2220611572265626e-05 , 3.0994415283203125e-06
25 , 4.1532516479492185e-05 , 2.3746490478515624e-05 , 3.0994415283203125e-06
26 , 4.4727325439453124e-05 , 2.536773681640625e-05 , 3.2901763916015627e-06
27 , 4.8065185546875e-05 , 2.727508544921875e-05 , 3.4332275390625e-06
28 , 5.1403045654296874e-05 , 2.8896331787109376e-05 , 3.5762786865234375e-06
29 , 5.5408477783203126e-05 , 3.085136413574219e-05 , 3.6716461181640626e-06
30 , 5.91278076171875e-05 , 3.2901763916015625e-05 , 3.814697265625e-06
31 , 6.432533264160157e-05 , 3.4856796264648435e-05 , 3.862380981445312e-06
32 , 6.742477416992188e-05 , 3.714561462402344e-05 , 4.00543212890625e-06
33 , 7.138252258300781e-05 , 3.92913818359375e-05 , 4.0531158447265625e-06
34 , 7.572174072265626e-05 , 4.1532516479492185e-05 , 4.148483276367187e-06
35 , 7.967948913574218e-05 , 4.358291625976563e-05 , 4.291534423828125e-06
36 , 8.411407470703125e-05 , 4.606246948242187e-05 , 4.482269287109375e-06
37 , 9.026527404785157e-05 , 4.858970642089844e-05 , 4.625320434570312e-06
38 , 9.365081787109375e-05 , 5.0973892211914065e-05 , 4.76837158203125e-06
39 , 9.813308715820313e-05 , 5.340576171875e-05 , 4.863739013671875e-06
40 , 0.00010318756103515625 , 5.602836608886719e-05 , 4.9591064453125e-06
41 , 0.00010805130004882812 , 5.846023559570312e-05 , 5.102157592773437e-06
42 , 0.00011382102966308593 , 6.103515625e-05 , 5.102157592773437e-06
43 , 0.00011835098266601562 , 6.399154663085937e-05 , 5.340576171875e-06
44 , 0.00012359619140625 , 6.690025329589844e-05 , 5.388259887695313e-06
45 , 0.00012960433959960938 , 6.966590881347656e-05 , 5.4836273193359375e-06
46 , 0.00013508796691894532 , 7.271766662597656e-05 , 5.674362182617188e-06
47 , 0.00014081001281738282 , 7.557868957519531e-05 , 5.674362182617188e-06
48 , 0.00014677047729492188 , 7.867813110351562e-05 , 5.91278076171875e-06
49 , 0.0001533031463623047 , 8.187294006347656e-05 , 5.9604644775390625e-06
50 , 0.00015888214111328124 , 8.502006530761719e-05 , 6.103515625e-06
51 , 0.0001651763916015625 , 8.821487426757812e-05 , 6.389617919921875e-06
52 , 0.00017232894897460936 , 9.164810180664062e-05 , 6.29425048828125e-06
53 , 0.0001784801483154297 , 9.493827819824218e-05 , 6.4373016357421875e-06
54 , 0.00018486976623535156 , 9.837150573730469e-05 , 6.580352783203125e-06
55 , 0.00019211769104003905 , 0.00010170936584472657 , 6.818771362304688e-06
56 , 0.0001983642578125 , 0.00010538101196289062 , 6.866455078125e-06
57 , 0.0002055644989013672 , 0.00010905265808105468 , 7.05718994140625e-06
58 , 0.00021257400512695313 , 0.00011267662048339844 , 6.961822509765625e-06
59 , 0.00021257400512695313 , 0.00011334419250488281 , 7.009506225585937e-06
60 , 0.000212860107421875 , 0.0001125335693359375 , 7.009506225585937e-06
61 , 0.0002128124237060547 , 0.0001125335693359375 , 7.104873657226563e-06
62 , 0.00021328926086425782 , 0.0001125335693359375 , 7.05718994140625e-06
63 , 0.00021262168884277343 , 0.00011272430419921875 , 7.104873657226563e-06
64 , 0.00021347999572753906 , 0.00011248588562011719 , 7.05718994140625e-06
65 , 0.00021262168884277343 , 0.00011262893676757812 , 7.05718994140625e-06
66 , 0.0002128124237060547 , 0.00011310577392578124 , 7.152557373046875e-06
67 , 0.00021271705627441407 , 0.00011248588562011719 , 7.009506225585937e-06
68 , 0.00021257400512695313 , 0.00011262893676757812 , 7.2479248046875e-06
